2292161	0.051723585 0.25424013 0.088386156 0.2362778 0.24532838 -0.05171479 -0.106621705 0.018905502 0.16128191 0.08231481 -0.25025836 0.4469675 -0.21160948 -0.29386088 -0.21289057 -0.4209413 0.17927337 0.086063474 0.13398208 0.08598946 -0.08274229 -0.012655866 0.13480224 0.5135259 0.11100323 0.29421338 0.29396096 0.11044439 0.47110942 0.25094852 -0.31179622 0.079081304 0.5252147 -0.083075546 -0.096667774 0.017732374 0.12333778 -0.16853184 0.1169427 0.36922923 -0.2067194 0.10521748 -0.26783472 -0.2320474 -0.3880222 0.04087086 0.2143371 -0.19533053 -8.134676e-05 0.08125344 0.02221797 0.08792567 -0.050912794 -0.14769717 0.38130352 0.28121236 -0.07272868 -0.2528969 -0.07574118 0.24009871 0.015254412 -0.34097782 -0.14986496 -0.2570396 0.26783496 0.04385817 0.32218248 0.6022168 0.012707782 0.08582958 -0.2475372 -0.09777753 -0.31330955 -0.08879662 0.5214393 0.33648267 -0.07211491 -0.3743104 0.1543111 0.18150787 0.09347235 0.34399226 0.055039052 -0.3219445 0.33102295 -0.07011071 -0.2811457 -0.06932985 -0.46726826 0.40585726 0.12392346 -0.15828834 0.14200218 -0.22091927 -0.15807244 0.09833303 -0.12407722 0.2331342 0.044510454 -0.009782033 0.3218279 -0.19983006 0.29261044 -0.054223087 0.06603758 -0.3562685 0.3063583 0.01878769 0.14460975 -0.21363525 -0.092537984 0.02728523 0.14881615 0.021074768 0.24175051 -0.18138112 -0.3527417 0.28140765 0.35836104 -0.2970227 -0.36803076 -0.085527204 -0.54664475 0.1790116 0.14780048 -0.26880845 -0.057212558 -0.114303075
4508078	0.40001842 -0.04272048 -0.30485988 -0.26238436 0.41802502 -0.04396543 0.24681601 0.26599824 0.41394645 0.47207123 -0.20411365 0.36038217 -0.04871134 -0.1293105 -0.044286396 -0.30019456 -0.018453477 0.26888514 0.5352205 0.27272394 0.13276376 0.17271933 0.2961434 0.07862881 0.563336 -0.26001647 -0.035086174 0.2835305 -0.011943758 0.71375483 0.21469331 0.054574233 -0.441756 0.26554778 0.23121324 -0.054984834 0.13206173 -0.24127659 -0.14618768 -0.4477185 -0.19301946 0.17055327 -0.28459486 0.10911432 -0.3107696 -0.21194959 0.2069031 -0.05616966 0.18884332 -0.14362161 -0.1529472 0.36509922 0.3683672 0.15802985 0.3849738 -0.07060596 0.22787328 -0.068520814 -0.36490884 -0.26822966 -0.17144036 -0.31219944 -0.18571652 -0.07588415 0.44660354 -0.24409026 0.10986791 0.19037521 -0.19309647 0.14362636 -0.3401224 0.07515032 -0.013775193 -0.38659722 0.2625956 -0.25389725 0.1339061 0.067974605 -0.088484794 -0.12943962 -0.4354499 -0.13855602 -0.1396329 -0.3709158 0.22107548 0.022902556 0.0039449413 -0.18982115 -0.13483581 0.26171747 -0.010072084 0.4551692 0.19624822 -0.04609571 -0.076545194 0.3605661 -0.30088454 -0.20088868 -0.035370413 0.0908872 -0.24884497 -0.17394489 0.12699564 -0.30245352 -0.12609228 0.104161866 -0.09850673 -0.21491061 0.09265821 -0.107398786 -0.047549736 -0.21278957 0.6385813 -0.2962607 -0.57922685 -0.22481886 -0.2599218 -0.038055655 -0.6386493 -0.1594039 0.25162873 -0.07880961 -0.23302479 0.17149194 0.21471916 0.16309907 0.12884822 -0.0012705477
5918217	-0.0071110683 0.54572684 -0.09727139 0.356322 0.342592 0.0018417205 0.062287707 -0.2068158 -0.12168135 -0.29715732 0.09878859 0.48618641 -0.15701409 -0.28461188 0.17982376 -0.23765454 0.06537033 0.06810262 0.36324227 0.20224527 0.041444417 0.03757361 0.20967999 0.1697547 0.19680819 -0.035948183 0.20613396 0.042509846 0.42115957 -0.063513204 -0.54888433 0.03318801 -0.10672924 -0.20306954 0.32421342 -0.13135159 -0.0033996783 0.13811623 0.28454134 0.30025944 -0.31091616 0.4445171 -0.23951805 0.06164088 -0.5005258 -0.18327431 0.25078472 -0.2539009 -0.11138127 -0.09793706 -0.12775783 -0.081408 0.3927567 0.18908714 0.3012666 0.2948069 -0.036632713 -0.18219733 0.19582582 0.29361328 -0.05170688 -0.48738155 -0.25006613 -0.29881862 -0.18045153 0.001841376 0.5519913 0.63165927 0.19101733 0.120315656 0.011121334 0.0047365855 0.06692945 -0.10629245 0.3219042 0.40711468 -0.2134368 -0.40295622 0.28996387 -0.10533492 0.19405027 0.0044254214 -0.0039690975 -0.20305523 -0.18411298 0.24269074 0.17008881 -0.095166676 -0.27195868 0.30359462 0.19247077 -0.051239923 0.3031506 -0.4770096 -0.15261422 0.3023309 0.2123493 0.07713613 -0.2159022 0.17177223 0.3049408 0.17424163 0.27500367 -0.08072109 0.15241523 -0.36754566 0.30997932 0.06042552 -0.05651553 -0.17313617 -0.0538038 0.22044073 0.40240207 -0.12897831 0.101746224 -0.15722203 -0.2604202 0.22169073 0.071549036 -0.23824497 -0.47787026 -0.3096456 -0.63560677 0.21430553 0.02163702 0.16362992 0.00556242 -0.08213038
8316075	0.17152733 -0.030675197 0.0015420638 0.009836383 0.16259795 -0.22916745 0.38188076 0.41857395 -0.06795656 0.0842995 -0.26136583 0.25054994 -0.16869348 -0.37671867 0.03680629 -0.095800065 0.030899782 0.25493327 0.2824991 0.5224172 -0.090969525 0.13494055 0.18987893 0.35533893 0.43726152 -0.049277533 -0.081518866 0.16270527 0.041160848 0.8400186 -0.30017343 -0.24048966 0.34953296 -0.054818403 -0.1699428 -0.26423213 0.23457219 0.08375194 -0.24956506 -0.21075226 -0.39546672 -0.33903956 -0.08204521 -0.15048842 0.0021593908 0.16768782 0.15355647 -0.036487065 -0.21365847 -0.13003904 0.16391213 -0.39511418 0.05745753 0.15389495 0.33866218 -0.25423613 0.15773351 -0.3121524 0.10562918 -0.11334 -0.42451116 -0.21860914 0.09999779 -0.32170072 0.015089814 0.31419525 -0.07216625 0.5708891 0.19817744 0.07461634 -0.41410565 -0.17168777 0.050224587 -0.6365513 0.18919364 -0.22764944 -0.059149683 -0.18453392 -0.14194119 -0.026895605 0.3848073 0.2343336 0.18095191 -0.25672325 0.25220212 0.047416057 0.08766413 -0.04609586 -0.32899088 -0.0586053 0.12827332 0.27207997 -0.0023083703 -0.29774812 -0.12929899 -0.09701985 0.23515806 -0.39110288 -0.20268118 -0.14549714 0.051103137 -0.156505 0.30958238 -0.012488697 -0.02455092 -0.12755576 -0.05931816 -0.19709684 -0.059660487 -0.008871171 0.04738926 0.183308 0.34686485 -0.2501056 0.13702126 -0.14900726 -0.27868223 -0.032596152 -0.033926707 -0.4771677 0.26475367 0.15195438 -0.33421567 0.31522328 0.2838752 0.31491792 0.0911712 0.31535172
8550301	0.34203884 -0.09806004 0.04671087 -0.031572547 -0.081093155 -0.3281304 0.10846064 -0.005443366 0.21504761 0.06626227 -0.116616376 0.33186078 0.1552033 -0.640186 0.19748603 -0.006333017 -0.14162116 0.25761253 0.6394038 0.065192215 -0.09740595 -0.13625164 0.17480133 0.08033875 0.1758044 -0.42431432 0.12894644 0.23637733 0.12578072 0.69333684 -0.1905677 0.40359583 -0.58630717 -0.07463643 -0.085803755 -0.13589181 -0.06605254 -0.4557413 0.2062327 -0.14385824 0.009350735 -0.020809423 -0.2984438 0.34015155 -0.204962 -0.22837704 -0.10005009 0.199166 0.23167941 0.14569072 0.045143906 -0.11772926 0.09370447 -0.003447649 -0.031221654 -0.13827819 0.4360903 -0.1010125 0.009800378 0.05700973 -0.1650938 -0.08354379 -0.05275454 -0.06863592 0.14809708 0.18528004 0.37705386 0.5723967 -0.055052675 0.48941684 -0.2800598 -0.24399312 0.09851568 -0.6246312 0.09967259 -0.37798107 0.021792809 -0.42367625 0.13304171 0.16582888 -0.041711923 -0.0554705 0.2846583 -0.33291984 0.35002184 -0.26442373 0.055642176 -0.12213021 -0.15798162 0.11816343 0.37781247 0.49233222 0.18141554 0.04052844 -0.114452116 0.08258009 -0.51224196 0.027216757 -0.31700775 0.16188481 -0.23079729 -0.17063309 0.5305235 0.059294984 -0.2474263 0.3360366 -0.000935725 -0.48281515 0.14912532 0.00548047 0.03766517 -0.037961207 0.28009832 -0.50058955 -0.095546566 -0.3240862 0.13027897 0.23462486 -0.08804464 -0.4013835 0.045327544 0.17646419 -0.522065 0.20238939 0.050928008 0.21539241 0.026961168 0.28665492
8870360	0.13982975 0.14339797 0.27975914 -0.40022883 -0.017633889 -0.065830216 0.23955077 0.22929269 -0.59669024 -0.07536542 -0.04476317 0.052972905 -0.25795498 0.08906667 0.025919355 -0.3473976 -0.09332059 0.24571143 0.21782398 -0.16022417 -0.26245135 0.06724841 0.09813009 0.044508662 -0.34279925 -0.19190568 0.0071442677 -0.13327204 -0.12101783 0.9098559 -0.6074887 0.48805827 -0.11356879 0.21718203 0.16075616 -0.3002696 0.013073526 -0.1117179 0.20560382 0.13136071 0.02366476 -0.09690607 -0.030442657 0.026197324 0.04323066 0.10940452 -0.021391064 -0.19386713 0.70561594 0.016972931 -0.23336989 0.2020448 0.3515343 0.07180204 -0.0249877 -0.34172556 0.13914336 -0.071710825 0.19657205 0.21371536 -0.20147112 0.019728955 -0.40481758 -0.13645846 0.011089906 0.44810984 0.24834779 0.19388412 -0.13614577 0.31578347 -0.07658778 0.1489264 -0.3312407 -0.013754753 0.07989682 -0.36210212 0.14942548 0.1126876 -0.19401687 0.17558052 -0.16022979 0.19980618 -0.16974825 -0.4161158 -0.30693257 0.09978318 0.0865301 0.086713836 -0.10504201 0.37676638 0.4194787 0.44498244 0.002601493 0.22381686 -0.08592436 -0.1721782 0.30234405 -0.3316891 -0.47574586 -0.025651295 -0.84581256 -0.063727945 -0.15079679 0.012476472 -0.2220876 0.15536933 0.016852042 -0.25458747 -0.2629668 0.0470135 0.14465031 -0.17820878 0.51154834 -0.38866687 -0.18640254 0.06384582 -0.4142025 0.16422066 -0.47932044 -0.5389046 -0.2681052 -0.10340678 -0.20161024 0.21925546 0.00972497 -0.05030142 0.28975362 -0.31160706
11244355	0.16958472 0.583534 0.118971266 0.08972169 0.18204065 -0.14572147 -0.12433039 0.031094676 0.020236608 0.23650509 -0.22627027 0.49748042 -0.23014311 -0.21244611 0.13834997 -0.319438 -0.18788546 0.48068458 0.33614275 -0.24515797 0.19828992 0.20173249 -0.0014320533 -0.119038746 0.5220077 -0.45228317 -0.21008411 -0.053132717 0.14699666 0.5480175 -0.07896998 -0.073156 -0.44504434 -0.1818365 -0.1401847 -0.032865074 0.19294257 -0.08234903 -0.055789914 0.3116182 0.0061249128 0.2933297 -0.53243405 -0.36265197 -0.3111671 0.12765782 0.278814 0.02009584 0.034334883 -0.14303459 -0.1633604 -0.038950358 0.33853668 0.05011777 0.0221784 0.15162174 -0.10130323 0.12186211 0.08167705 0.18274638 -0.5429794 0.12870395 -0.2732054 -0.21429332 0.49070305 -0.085841596 0.18128677 0.5161756 -0.111955084 0.13308254 -0.11186962 0.35171235 0.0900389 -0.44209558 0.06095921 -0.3519327 0.120576836 -0.24861696 0.08806384 -0.08396871 -0.13257453 0.37190637 -0.062435858 0.085304305 -0.09017487 -0.07557343 -0.16583876 -0.23893686 -0.21328887 0.5109346 0.60920113 0.2908332 -0.21391007 -0.40150234 0.19734468 0.09544547 -0.37838867 -0.20529257 -0.13106443 0.377112 -0.18252148 -0.27385086 0.16841361 -0.20944369 -0.21346514 -0.07080164 -0.19469777 -0.4024646 -0.16890752 -0.17707618 -0.12980834 -0.553733 0.14088568 -0.0593993 -0.17052117 0.074357 -0.2612989 -0.08908749 -0.48814702 -0.08622502 0.17575936 -0.046905816 -0.35920885 0.19041122 0.36941025 0.06956463 0.22623232 -0.29477766
11298561	0.29985276 0.15332909 -0.28700843 -0.18207388 0.14532214 -0.12632087 0.45753932 0.4430161 0.35828453 0.5190644 0.15561143 0.10527172 0.058240257 -0.4573493 -0.07111026 -0.40015754 -0.15159449 0.37280074 0.44827542 0.31174836 0.027133469 0.058832183 0.23867075 0.18966201 0.1227057 -0.4028785 0.32917443 0.021708954 0.3178053 0.71379197 -0.14479952 0.16144763 -0.06271716 0.14221491 0.0037630568 0.1328365 0.2563741 -0.090185255 -0.057898045 -0.36045098 -0.15841717 0.37706524 -0.14336066 -0.078935094 -0.7018281 0.185631 0.20141627 -0.13384797 0.09419151 -0.15683326 0.10776426 0.20555165 0.37130547 0.30324596 -0.003966483 -0.2941276 0.4408156 0.092891715 -0.21458861 -0.26847047 -0.19542472 -0.20124896 -0.17773972 -0.41529077 0.27788344 0.17260543 0.09533879 0.18876621 0.1671689 0.24739584 -0.2833504 0.09892295 0.10849484 -0.58801895 0.06928897 -0.2941781 0.02421705 -0.2243717 0.3108058 -0.1369532 -0.21476613 0.1131827 -0.28222254 -0.29603982 0.10543137 -0.25001594 -0.10829649 -0.06276219 -0.2028162 0.20744288 0.5451724 0.4876904 -0.064610526 0.2400203 -0.21360786 0.14296071 0.013706889 -0.39392272 -0.095977426 0.1696286 -0.19556269 -0.16522305 -0.050739657 0.08089857 -0.08559978 0.12528096 -0.094611816 -0.229543 -0.023081606 -0.28977138 0.116375394 -0.03148228 0.53328604 -0.68937224 -0.26238438 -0.31164217 -0.17729646 -0.116123356 -0.5057802 -0.37896252 -0.110493526 0.15467 -0.58022493 0.20552918 -0.15302448 0.10277282 0.24748744 0.112745926
11511616	0.30253318 0.08686473 -0.28990236 -0.0034551139 -0.084805615 -0.25435504 0.16687651 0.60519546 0.028819216 0.43063277 -0.19576263 0.2621265 -0.08461065 -0.26953545 -0.07733934 -0.13513395 0.13736212 0.43413624 0.6673461 0.46621934 -0.06178094 0.32286564 0.32064614 0.13522913 0.27821502 -0.07494805 0.07152378 0.40481296 0.03802782 0.79700917 -0.2928597 -0.21780832 -0.09904918 -0.014027348 -0.17868394 0.118898176 0.47626945 0.14895812 0.19271857 0.17531212 -0.33789954 0.022063654 -0.055259515 -0.4792103 0.19961405 0.08778518 -0.12928618 -0.47110653 0.07421371 -0.22725195 -0.15125024 0.034223583 0.21179964 0.35133383 0.14712833 -0.20022906 0.30111015 -0.16538404 0.09370145 0.10012381 -0.57081145 -0.38242602 -0.06704487 0.050343007 0.2529158 0.4584343 -0.11120776 0.2707773 -0.099131435 0.3345246 -0.2963749 0.16724429 0.16927598 -0.13336739 -0.18399605 -0.25163168 -0.11188981 -0.15258138 -0.058952503 -0.010374393 0.10804802 -0.001007243 0.08397619 0.012709185 -0.25391403 -0.18730745 0.059906114 -0.28442213 -0.20689271 0.02371749 0.38813713 0.37470472 0.38453037 0.050302293 -0.070942365 0.19581448 -0.36201027 -0.34215894 -0.30360067 0.06610413 -0.20428146 -0.062872365 0.4088681 -0.12256981 -0.038572945 -0.101516746 -0.4298926 -0.20064853 -0.080891065 -0.15769802 0.29957652 0.1039754 0.45564598 -0.42263827 -0.19186512 -0.28429657 0.056186136 0.09875051 -0.27162534 -0.398848 0.31186548 0.15815611 -0.17384501 0.26632628 0.11595568 0.3932648 -0.041052762 0.1831427
14875769	-0.09987454 0.18901056 -0.08739214 -0.36578023 0.09412749 -0.03269316 0.2640309 -0.17123744 -0.29625878 0.43614694 -0.04457269 0.19553122 -0.38031712 -0.39802155 0.07832729 0.08521772 0.21726352 0.3803551 0.067822725 -0.2938882 0.15647443 -0.27789438 0.1641917 -0.0342289 0.09504323 0.058897078 -0.11389579 0.19806696 0.40042448 0.06578342 0.008178825 0.121802375 -0.46013477 0.49335173 -0.15772632 0.11492938 0.23918681 -0.25854746 -0.019085465 -0.17664444 -0.17299408 -0.1691578 0.33052477 -0.43998063 -0.42749435 -0.24808718 0.5044535 -0.555098 -0.26034778 0.6538415 0.050478436 0.26972786 -0.038333952 -0.0138232745 0.74289185 -0.15827838 0.5108695 0.2712177 0.22002824 0.0882017 -0.124218255 -0.26980045 -0.2966137 -0.17127714 0.7690036 -0.19649747 0.4280539 0.0011264278 0.13525619 0.1900978 -0.0060515516 0.05047748 -0.11561777 -0.015210962 -0.25504458 -0.06763868 -0.081264086 -0.059102256 0.23207986 0.13591403 0.15267834 -0.12945797 0.5302307 -0.5026328 0.12983654 -0.047744233 -0.03337233 -0.24508993 -0.08172805 0.13522579 -0.41392434 -0.6907373 0.10881943 -0.21842194 -0.19149983 0.47158635 -0.33382598 -0.25407174 -0.452791 -0.18244332 -0.29534972 -0.53204185 0.16347449 -0.4263963 0.26504886 -0.22349466 -0.14582613 -0.028612277 0.17714654 -0.17616442 0.32741985 -0.06428978 0.78932077 -0.20991345 0.18779084 -0.3500413 -0.17665294 0.24334958 -0.43436307 -0.29881105 -0.41608363 0.20391704 -0.21815771 0.08140516 -0.13520913 0.15373702 0.2351426 0.12936193
